Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,
Institution_Name,,,,,,,,,,,,,,,
Institution_ID,mu-0000036,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,
Reporting_Period,2018-01-01 to 2018-05-31,,,,,,,,,,,,,,
Created,03-07-2018,,,,,,,,,,,,,,
Created_By,MPS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jan-18,Feb-18,Mar-18,Apr-18,May-18
Catalysis Science & Technology,Royal Society of Chemistry,,rsc.org,10.1039/2044-4761/2011,,2044-4753,2044-4761,,Total_Item_Requests,58,0,0,0,31,27
Catalysis Science & Technology,Royal Society of Chemistry,,rsc.org,10.1039/2044-4761/2011,,2044-4753,2044-4761,,Unique_Item_Requests,50,0,0,0,26,24
Faraday Discussions of the Chemical Society,Royal Society of Chemistry,,rsc.org,,,,0301-7249,,Total_Item_Requests,2,0,0,0,2,0
Faraday Discussions of the Chemical Society,Royal Society of Chemistry,,rsc.org,,,,0301-7249,,Unique_Item_Requests,2,0,0,0,2,0
Discussions of the Faraday Society,Royal Society of Chemistry,,rsc.org,,,,0366-9033,,Total_Item_Requests,1,0,0,0,0,1
Discussions of the Faraday Society,Royal Society of Chemistry,,rsc.org,,,,0366-9033,,Unique_Item_Requests,1,0,0,0,0,1
Dalton Transactions,Royal Society of Chemistry,,rsc.org,10.1039/1477-9234/2003,,1477-9226,1477-9234,,Total_Item_Requests,76,0,0,0,36,40
Dalton Transactions,Royal Society of Chemistry,,rsc.org,10.1039/1477-9234/2003,,1477-9226,1477-9234,,Unique_Item_Requests,68,0,0,0,29,39
Energy & Environmental Science,Royal Society of Chemistry,,rsc.org,10.1039/1754-5706/2008,,1754-5692,1754-5706,,Total_Item_Requests,50,0,0,0,27,23
Energy & Environmental Science,Royal Society of Chemistry,,rsc.org,10.1039/1754-5706/2008,,1754-5692,1754-5706,,Unique_Item_Requests,49,0,0,0,26,23
Environmental Science: Processes & Impacts (previously Journal of Environmental Monitoring),Royal Society of Chemistry,,rsc.org,10.1039/2050-7895/2013,,2050-7887,2050-7895,,Total_Item_Requests,1,0,0,0,0,1
