"Report_Name","Journal Usage by Access Type"
"Report_ID","TR_J3"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Method=Regular"
"Report_Attributes","Attributes_To_Show=Access_Type; "
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","Access_Type","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Chemical Communications (London)","Royal Society of Chemistry","","rsc.org","","","","0009-241X","","Controlled","Total_Item_Requests","2","0","0","0","1","1"
"Chemical Communications (London)","Royal Society of Chemistry","","rsc.org","","","","0009-241X","","Controlled","Unique_Item_Investigations","2","0","0","0","1","1"
"Chemical Communications (London)","Royal Society of Chemistry","","rsc.org","","","","0009-241X","","Controlled","Unique_Item_Requests","2","0","0","0","1","1"
"Chemical Science","Royal Society of Chemistry","","rsc.org","10.1039/2041-6539/2010","","2041-6520","2041-6539","","Controlled","Total_Item_Investigations","43","0","0","0","21","22"
"Chemical Science","Royal Society of Chemistry","","rsc.org","10.1039/2041-6539/2010","","2041-6520","2041-6539","","Controlled","Total_Item_Requests","30","0","0","0","15","15"
"Chemical Science","Royal Society of Chemistry","","rsc.org","10.1039/2041-6539/2010","","2041-6520","2041-6539","","Controlled","Unique_Item_Investigations","41","0","0","0","21","20"
"Chemical Science","Royal Society of Chemistry","","rsc.org","10.1039/2041-6539/2010","","2041-6520","2041-6539","","Controlled","Unique_Item_Requests","28","0","0","0","15","13"
"Chemical Society Reviews","Royal Society of Chemistry","","rsc.org","10.1039/1460-4744/1972","","0306-0012","1460-4744","","Controlled","Total_Item_Investigations","84","0","0","0","41","43"
"Chemical Society Reviews","Royal Society of Chemistry","","rsc.org","10.1039/1460-4744/1972","","0306-0012","1460-4744","","Controlled","Total_Item_Requests","76","0","0","0","36","40"
"Chemical Society Reviews","Royal Society of Chemistry","","rsc.org","10.1039/1460-4744/1972","","0306-0012","1460-4744","","Controlled","Unique_Item_Investigations","72","0","0","0","34","38"
"Chemical Society Reviews","Royal Society of Chemistry","","rsc.org","10.1039/1460-4744/1972","","0306-0012","1460-4744","","Controlled","Unique_Item_Requests","64","0","0","0","29","35"
"Contemporary Organic Synthesis","Royal Society of Chemistry","","rsc.org","","","","1350-4894","","Controlled","Total_Item_Investigations","1","0","0","0","0","1"
"Contemporary Organic Synthesis","Royal Society of Chemistry","","rsc.org","","","","1350-4894","","Controlled","Total_Item_Requests","1","0","0","0","0","1"
"Contemporary Organic Synthesis","Royal Society of Chemistry","","rsc.org","","","","1350-4894","","Controlled","Unique_Item_Investigations","1","0","0","0","0","1"
"Contemporary Organic Synthesis","Royal Society of Chemistry","","rsc.org","","","","1350-4894","","Controlled","Unique_Item_Requests","1","0","0","0","0","1"
"CrystEngComm","Royal Society of Chemistry","","rsc.org","10.1039/1466-8033/1999","","","1466-8033","","Controlled","Total_Item_Investigations","30","0","0","0","5","25"
"CrystEngComm","Royal Society of Chemistry","","rsc.org","10.1039/1466-8033/1999","","","1466-8033","","Controlled","Total_Item_Requests","25","0","0","0","5","20"
"CrystEngComm","Royal Society of Chemistry","","rsc.org","10.1039/1466-8033/1999","","","1466-8033","","Controlled","Unique_Item_Investigations","26","0","0","0","5","21"
"CrystEngComm","Royal Society of Chemistry","","rsc.org","10.1039/1466-8033/1999","","","1466-8033","","Controlled","Unique_Item_Requests","23","0","0","0","5","18"
"Dalton Transactions","Royal Society of Chemistry","","rsc.org","10.1039/1477-9234/2003","","1477-9226","1477-9234","","Controlled","Total_Item_Investigations","104","0","0","0","40","64"
"Dalton Transactions","Royal Society of Chemistry","","rsc.org","10.1039/1477-9234/2003","","1477-9226","1477-9234","","Controlled","Total_Item_Requests","76","0","0","0","36","40"
"Dalton Transactions","Royal Society of Chemistry","","rsc.org","10.1039/1477-9234/2003","","1477-9226","1477-9234","","Controlled","Unique_Item_Investigations","86","0","0","0","33","53"
"Dalton Transactions","Royal Society of Chemistry","","rsc.org","10.1039/1477-9234/2003","","1477-9226","1477-9234","","Controlled","Unique_Item_Requests","68","0","0","0","29","39"
"Discussions of the Faraday Society","Royal Society of Chemistry","","rsc.org","","","","0366-9033","","Controlled","Total_Item_Investigations","1","0","0","0","0","1"
"Discussions of the Faraday Society","Royal Society of Chemistry","","rsc.org","","","","0366-9033","","Controlled","Total_Item_Requests","1","0","0","0","0","1"
"Discussions of the Faraday Society","Royal Society of Chemistry","","rsc.org","","","","0366-9033","","Controlled","Unique_Item_Investigations","1","0","0","0","0","1"
"Discussions of the Faraday Society","Royal Society of Chemistry","","rsc.org","","","","0366-9033","","Controlled","Unique_Item_Requests","1","0","0","0","0","1"
