"Report_Name"	"Journal Requests (Excluding OA_Gold)"
"Report_ID"	"TR_J1"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Requests; Unique_Item_Requests"
"Report_Filters"	"Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes"	""
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"Print_ISSN"	"Online_ISSN"	"URI"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Annual Reports Section C (Physical Chemistry)"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4787/1979"	""	"0260-1826"	"1460-4787"	""	"Unique_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Photochemical & Photobiological Sciences"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1474-9092/2002"	""	"1474-905X"	"1474-9092"	""	"Total_Item_Requests"	"38"	"0"	"0"	"0"	"0"	"0"	"38"
"Photochemical & Photobiological Sciences"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1474-9092/2002"	""	"1474-905X"	"1474-9092"	""	"Unique_Item_Requests"	"27"	"0"	"0"	"0"	"0"	"0"	"27"
"Polymer Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1759-9962/2010"	""	"1759-9954"	"1759-9962"	""	"Total_Item_Requests"	"193"	"0"	"0"	"0"	"0"	"0"	"193"
"Polymer Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1759-9962/2010"	""	"1759-9954"	"1759-9962"	""	"Unique_Item_Requests"	"139"	"0"	"0"	"0"	"0"	"0"	"139"
"Inorganic Chemistry Frontiers"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2052-1553/2014"	""	""	"2052-1553"	""	"Total_Item_Requests"	"14"	"0"	"0"	"0"	"0"	"0"	"14"
"Inorganic Chemistry Frontiers"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2052-1553/2014"	""	""	"2052-1553"	""	"Unique_Item_Requests"	"12"	"0"	"0"	"0"	"0"	"0"	"12"
"Quarterly Journal of the Chemical Society of London"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"1743-6893"	""	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quarterly Journal of the Chemical Society of London"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"1743-6893"	""	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Materials Chemistry Frontiers"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2052-1537/2016"	""	""	"2052-1537"	""	"Total_Item_Requests"	"19"	"0"	"0"	"0"	"0"	"0"	"19"
"Materials Chemistry Frontiers"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2052-1537/2016"	""	""	"2052-1537"	""	"Unique_Item_Requests"	"11"	"0"	"0"	"0"	"0"	"0"	"11"
"Organic Chemistry Frontiers"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2052-4129/2014"	""	""	"2052-4129"	""	"Total_Item_Requests"	"40"	"0"	"0"	"0"	"0"	"0"	"40"
"Organic Chemistry Frontiers"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2052-4129/2014"	""	""	"2052-4129"	""	"Unique_Item_Requests"	"36"	"0"	"0"	"0"	"0"	"0"	"36"
"RSC Advances"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2046-2069/2011"	""	""	"2046-2069"	""	"Total_Item_Requests"	"559"	"0"	"0"	"0"	"0"	"0"	"559"
"RSC Advances"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2046-2069/2011"	""	""	"2046-2069"	""	"Unique_Item_Requests"	"435"	"0"	"0"	"0"	"0"	"0"	"435"
"Reaction Chemistry & Engineering"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2058-9883/2016"	""	""	"2058-9883"	""	"Total_Item_Requests"	"15"	"0"	"0"	"0"	"0"	"0"	"15"
"Reaction Chemistry & Engineering"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2058-9883/2016"	""	""	"2058-9883"	""	"Unique_Item_Requests"	"13"	"0"	"0"	"0"	"0"	"0"	"13"
"Chemistry Education Research and Practice"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1756-1108/2000"	""	"1109-4028"	"1756-1108"	""	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Chemistry Education Research and Practice"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1756-1108/2000"	""	"1109-4028"	"1756-1108"	""	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Chemical Science"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2041-6539/2010"	""	"2041-6520"	"2041-6539"	""	"Total_Item_Requests"	"527"	"0"	"0"	"0"	"0"	"0"	"527"
"Chemical Science"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2041-6539/2010"	""	"2041-6520"	"2041-6539"	""	"Unique_Item_Requests"	"386"	"0"	"0"	"0"	"0"	"0"	"386"
"Sustainable Energy & Fuels"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2398-4902/2017"	""	""	"2398-4902"	""	"Total_Item_Requests"	"46"	"0"	"0"	"0"	"0"	"0"	"46"
"Sustainable Energy & Fuels"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2398-4902/2017"	""	""	"2398-4902"	""	"Unique_Item_Requests"	"36"	"0"	"0"	"0"	"0"	"0"	"36"
"Soft Matter"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1744-6848/2005"	""	"1744-683X"	"1744-6848"	""	"Total_Item_Requests"	"337"	"0"	"0"	"0"	"0"	"0"	"337"
"Soft Matter"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1744-6848/2005"	""	"1744-683X"	"1744-6848"	""	"Unique_Item_Requests"	"253"	"0"	"0"	"0"	"0"	"0"	"253"
"Journal of Materials Chemistry A"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2050-7496/2013"	""	"2050-7488"	"2050-7496"	""	"Total_Item_Requests"	"632"	"0"	"0"	"0"	"0"	"0"	"632"
"Journal of Materials Chemistry A"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2050-7496/2013"	""	"2050-7488"	"2050-7496"	""	"Unique_Item_Requests"	"486"	"0"	"0"	"0"	"0"	"0"	"486"
"Journal of Materials Chemistry B"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2050-7518/2013"	""	"2050-750X"	"2050-7518"	""	"Total_Item_Requests"	"115"	"0"	"0"	"0"	"0"	"0"	"115"
"Journal of Materials Chemistry B"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2050-7518/2013"	""	"2050-750X"	"2050-7518"	""	"Unique_Item_Requests"	"86"	"0"	"0"	"0"	"0"	"0"	"86"
"Journal of Materials Chemistry C"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2050-7534/2013"	""	"2050-7526"	"2050-7534"	""	"Total_Item_Requests"	"199"	"0"	"0"	"0"	"0"	"0"	"199"
"Journal of Materials Chemistry C"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2050-7534/2013"	""	"2050-7526"	"2050-7534"	""	"Unique_Item_Requests"	"155"	"0"	"0"	"0"	"0"	"0"	"155"
"Transactions of the Faraday Society"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0014-7672"	""	"Total_Item_Requests"	"43"	"0"	"0"	"0"	"0"	"0"	"43"
"Transactions of the Faraday Society"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0014-7672"	""	"Unique_Item_Requests"	"37"	"0"	"0"	"0"	"0"	"0"	"37"
"Toxicology Research"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2045-4538/2012"	""	"2045-452X"	"2045-4538"	""	"Total_Item_Requests"	"8"	"0"	"0"	"0"	"0"	"0"	"8"
"Toxicology Research"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2045-4538/2012"	""	"2045-452X"	"2045-4538"	""	"Unique_Item_Requests"	"8"	"0"	"0"	"0"	"0"	"0"	"8"
