"Report_Name"	"Journal Requests (Excluding OA_Gold)"
"Report_ID"	"TR_J1"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Requests; Unique_Item_Requests"
"Report_Filters"	"Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes"	""
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"Print_ISSN"	"Online_ISSN"	"URI"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Chemical Society Reviews"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4744/1972"	""	"0306-0012"	"1460-4744"	""	"Total_Item_Requests"	"730"	"0"	"0"	"0"	"0"	"0"	"730"
"Chemical Society Reviews"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4744/1972"	""	"0306-0012"	"1460-4744"	""	"Unique_Item_Requests"	"542"	"0"	"0"	"0"	"0"	"0"	"542"
"Journal of the Chemical Society, Transactions"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0368-1645"	""	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Journal of the Chemical Society, Transactions"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0368-1645"	""	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Catalysis Science & Technology"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2044-4761/2011"	""	"2044-4753"	"2044-4761"	""	"Total_Item_Requests"	"118"	"0"	"0"	"0"	"0"	"0"	"118"
"Catalysis Science & Technology"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2044-4761/2011"	""	"2044-4753"	"2044-4761"	""	"Unique_Item_Requests"	"85"	"0"	"0"	"0"	"0"	"0"	"85"
"Faraday Discussions of the Chemical Society"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0301-7249"	""	"Total_Item_Requests"	"3"	"0"	"0"	"0"	"0"	"0"	"3"
"Faraday Discussions of the Chemical Society"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0301-7249"	""	"Unique_Item_Requests"	"3"	"0"	"0"	"0"	"0"	"0"	"3"
"Discussions of the Faraday Society"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0366-9033"	""	"Total_Item_Requests"	"13"	"0"	"0"	"0"	"0"	"0"	"13"
"Discussions of the Faraday Society"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0366-9033"	""	"Unique_Item_Requests"	"13"	"0"	"0"	"0"	"0"	"0"	"13"
