"Report_Name"	"Book Usage by Access Type"
"Report_ID"	"TR_B3"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_investigations; Unique_Title_Requests"
"Report_Filters"	"Data_Type=Book; Access_Method=Regular"
"Report_Attributes"	"Attributes_To_Show=Access_Type"
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"ISBN"	"Print_ISSN"	"Online_ISSN"	"URI"	"Access_Type"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"The Science of Ice Cream"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781847552150"	""	"978-1-84755-215-0"	"978-0-85404-629-4"	"2050-926X"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Privileged Scaffolds in Medicinal Chemistry: Design, Synthesis, Evaluation"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622246"	""	"978-1-78262-224-6"	"978-1-78262-030-3"	"2041-3211"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
